"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testClear","avgt",1,3,1.942808,0.007950,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,205186.566292,12020.864084,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,391441.222118,4033.712349,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,588523.838764,40555.742437,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,923376.992645,10760.657504,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,971018.490189,18771.329493,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1168363.692267,19131.863236,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1313292.568370,134984.395426,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1519612.601476,433279.404900,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1738444.973155,17315.466302,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionAndComparatorConstructor","avgt",1,3,1889059.456906,52572.827295,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,173969.006694,19075.477986,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,399529.837721,39500.076262,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,600593.718496,5074.088567,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,820501.600649,6034.837206,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1036402.442711,16220.404107,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1224198.268716,64754.769416,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1428315.055080,48662.388312,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1693414.889293,33036.243574,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,1871768.408838,76451.506842,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testCollectionConstructor","avgt",1,3,2063983.331973,16745.850141,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.536937,0.389193,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524387,0.005442,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.540912,0.513276,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.543892,0.611033,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524509,0.006808,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524483,0.004511,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524712,0.005210,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524676,0.004826,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524804,0.004033,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparator","avgt",1,3,0.524707,0.003198,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.466326,0.127598,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.639030,2.138393,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.478817,0.109630,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.484902,0.141876,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.492327,0.076526,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.494418,0.126621,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.491448,0.213166,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.570045,2.447307,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.558659,2.523302,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testComparatorConstructor","avgt",1,3,4.481593,0.065173,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,2887.372514,4257.986045,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,6995.448103,1726.170858,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,10694.868103,1727.447816,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,13074.730394,46489.846885,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,14759.824948,46118.957474,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,20009.656266,71380.454814,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,20046.107069,19960.857210,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,25237.908884,38061.019656,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,26300.158796,64258.120089,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContains","avgt",1,3,26901.324461,68749.117880,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,122572.625214,3518.947783,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,275516.910155,15654.657467,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,390713.228574,18085.346021,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,636597.092102,107020.638534,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,612560.540145,22978.034086,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,772745.118357,272569.317560,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,996503.966316,296634.395140,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,1168948.163132,389207.474553,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,1383565.383539,68421.390918,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testContainsAll","avgt",1,3,1257558.767208,103565.175937,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.531321,0.146354,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.527147,0.194119,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.542051,0.186279,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.533683,0.143829,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.541896,0.236067,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.539311,0.213732,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.601542,1.735805,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.544466,0.219710,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.511079,0.110973,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testDefaultConstructor","avgt",1,3,4.525873,0.280355,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.962093,0.473376,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.974249,0.448699,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.960722,0.490442,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.949783,0.121796,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.950781,0.132727,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.954833,0.261685,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.959078,0.362331,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.952402,0.183775,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.946738,0.002920,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testElement","avgt",1,3,0.950712,0.141039,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.734653,0.005259,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.734182,0.013945,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.735807,0.022096,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.747565,0.271564,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.734529,0.007385,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.734733,0.008698,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.738064,0.084417,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.735099,0.008504,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.738536,0.069975,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIsEmpty","avgt",1,3,0.733613,0.012551,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,1340.921619,10.519858,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,2683.455804,62.093507,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,4026.826827,755.534238,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,5359.700120,42.269239,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,6707.179190,35.129722,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,8041.573825,78.074097,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,9407.044709,1139.315831,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,10691.287542,77.478833,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,12013.195449,1003.171396,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testIterator","avgt",1,3,13337.086617,1532.872351,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,42.168305,73.617634,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,42.825443,112.151124,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,40.553088,21.726840,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,39.946143,78.088471,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,42.366576,150.607889,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,43.103153,7.212603,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,38.830454,67.834706,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,42.693319,130.446933,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,42.815030,30.208527,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testOffer","avgt",1,3,44.186423,63.704322,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.944116,0.022104,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.955490,0.354805,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.952861,0.280618,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.987975,0.423210,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.966679,0.094376,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.963183,0.294345,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.979465,0.264705,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.954619,0.180697,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.966286,0.398729,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPeek","avgt",1,3,0.979755,0.286286,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.737921,0.054920,"ns/op",10000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.742480,0.040452,"ns/op",20000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.757175,0.315591,"ns/op",30000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.749558,0.003049,"ns/op",40000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.761915,0.254703,"ns/op",50000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.762478,0.108223,"ns/op",60000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.765646,0.034321,"ns/op",70000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.772332,0.054070,"ns/op",80000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.777377,0.080325,"ns/op",90000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testPoll","avgt",1,3,0.781334,0.024015,"ns/op",100000
"custompriorityqueue.CustomPriorityQueuePerformanceTest.testRemoveAll","avgt",1,3,509929.639451,10827.014653,"ns/op",10000
