Benchmark;Size;Score (ns/op)
"testOffer";80000;42.69331904170067
"testOffer";90000;42.81502970816489
"testOffer";100000;44.18642283793884
"testPeek";10000;0.944116405632355
"testPeek";20000;0.9554897854419456
"testPeek";30000;0.9528611676154478
"testPeek";40000;0.9879748591161217
"testPeek";50000;0.9666785013538952
"testPeek";60000;0.9631827831088957
"testPeek";70000;0.9794653737346312
"testPeek";80000;0.9546193701374435
"testPeek";90000;0.9662859695185836
"testPeek";100000;0.9797553167860066
"testPoll";10000;0.7379205245877635
"testPoll";20000;0.7424802836348081
"testPoll";30000;0.7571747297683448
"testPoll";40000;0.7495583366694903
"testPoll";50000;0.7619153333427162
"testPoll";60000;0.762477796059745
"testPoll";70000;0.7656458249458464
"testPoll";80000;0.7723323717910827
"testPoll";90000;0.7773772844490408
"testPoll";100000;0.7813344487256618
"testRemoveAll";10000;509929.63945130905
"testRemoveAll";20000;1105349.776598855
"testRemoveAll";30000;1614510.9766175596
"testRemoveAll";40000;2278723.8857786357
"testRemoveAll";50000;2697111.1364784134
"testRemoveAll";60000;3219439.693004381
"testRemoveAll";70000;3857253.496954572
"testRemoveAll";80000;4537951.689665408
"testRemoveAll";90000;5205125.285473785
"testRemoveAll";100000;5188071.238473167
"testRemoveObject";10000;2.2349557775616646
"testRemoveObject";20000;2.5082197711824303
"testRemoveObject";30000;3.0840012445179954
"testRemoveObject";40000;4.702820174291698
"testRemoveObject";50000;21.123813518250326
"testRemoveObject";60000;12869.41773975709
"testRemoveObject";70000;17956.34487664286
"testRemoveObject";80000;19765.64119123808
"testRemoveObject";90000;22412.59143782101
"testRemoveObject";100000;27148.228084395174
"testRetainAll";10000;526569.6334783436
"testRetainAll";20000;1103882.5986618863
"testRetainAll";30000;1594793.1646287644
"testRetainAll";40000;2254587.9976561572
"testRetainAll";50000;2760004.6817567567
"testRetainAll";60000;3222145.9061645833
"testRetainAll";70000;3895449.905607958
"testRetainAll";80000;4544206.188572501
"testRetainAll";90000;5121192.172060743
"testRetainAll";100000;5258132.617124856
"testSize";10000;0.7333808871306938
"testSize";20000;0.7336194331281239
"testSize";30000;0.7325196539589468
"testSize";40000;0.7333365322793185
"testSize";50000;0.737882128588159
"testSize";60000;0.7338508834625824
"testSize";70000;0.7364912874706832
"testSize";80000;0.7348610992232604
"testSize";90000;0.736545536821398
"testSize";100000;0.7434863413286198
"testToArray";10000;1047.8121609899233
"testToArray";20000;1729.7579899147347
"testToArray";30000;3290.51872669226
"testToArray";40000;3391.992897605116
"testToArray";50000;5614.970154734931
"testToArray";60000;6768.2665596653505
"testToArray";70000;8105.088572124482
"testToArray";80000;8909.445944254601
"testToArray";90000;9752.414034442672
"testToArray";100000;11135.631536992165
"testToArrayTyped";10000;5707.256856638727
"testToArrayTyped";20000;10933.809812832274
"testToArrayTyped";30000;17812.09801947617
"testToArrayTyped";40000;22116.02568166889
"testToArrayTyped";50000;29181.363550967628
"testToArrayTyped";60000;34435.69425245673
"testToArrayTyped";70000;39081.013370496315
"testToArrayTyped";80000;52369.14702106748
"testToArrayTyped";90000;57622.056895089074
"testToArrayTyped";100000;59774.719011341695
