Benchmark;Size;Score (ns/op)
"testOffer";80000;43.81655437921568
"testOffer";90000;42.993766376410996
"testOffer";100000;47.45005456193579
"testPeek";10000;0.9512302773648097
"testPeek";20000;0.9569560385991602
"testPeek";30000;0.945747202459442
"testPeek";40000;0.9805517126394175
"testPeek";50000;0.9595291678454722
"testPeek";60000;0.9508242978149086
"testPeek";70000;0.963481226959834
"testPeek";80000;0.9578129293898017
"testPeek";90000;0.9478292972835288
"testPeek";100000;0.9767505503196636
"testPoll";10000;0.7383080554508742
"testPoll";20000;0.7540557319342499
"testPoll";30000;0.7510340475997026
"testPoll";40000;2.1793809662879524
"testPoll";50000;0.7855482238663697
"testPoll";60000;0.7866168250174662
"testPoll";70000;0.7751811032133499
"testPoll";80000;0.7932519102752154
"testPoll";90000;0.7938381308999204
"testPoll";100000;0.7850665968851672
"testRemoveAll";10000;520512.6089636038
"testRemoveAll";20000;1118820.523428472
"testRemoveAll";30000;1619552.3962719918
"testRemoveAll";40000;2262124.710992214
"testRemoveAll";50000;2804512.3881160878
"testRemoveAll";60000;3288496.7554112556
"testRemoveAll";70000;4004254.855827592
"testRemoveAll";80000;4667664.927596557
"testRemoveAll";90000;5192286.0
"testRemoveAll";100000;5188345.666351077
"testRemoveObject";10000;2.290106148663091
"testRemoveObject";20000;2.4914662072695024
"testRemoveObject";30000;3.109571523067826
"testRemoveObject";40000;4.658884148557656
"testRemoveObject";50000;19.744469774622377
"testRemoveObject";60000;14394.838328477177
"testRemoveObject";70000;18876.882783393197
"testRemoveObject";80000;21514.04157827367
"testRemoveObject";90000;23337.605665489125
"testRemoveObject";100000;27361.71198186363
"testRetainAll";10000;522103.25847995165
"testRetainAll";20000;1102306.9618984847
"testRetainAll";30000;1622061.0208643507
"testRetainAll";40000;2275466.9568634033
"testRetainAll";50000;2760675.653522139
"testRetainAll";60000;3262370.733322233
"testRetainAll";70000;3891304.878970383
"testRetainAll";80000;4540568.025605964
"testRetainAll";90000;5269709.055555556
"testRetainAll";100000;5268904.371527777
"testSize";10000;0.7362513985308677
"testSize";20000;0.7345536861946891
"testSize";30000;0.7464774666611683
"testSize";40000;0.7350173227259821
"testSize";50000;0.7380472387105342
"testSize";60000;0.7346631847648403
"testSize";70000;0.7435619581028892
"testSize";80000;0.7569235598062614
"testSize";90000;0.7561649021512679
"testSize";100000;0.7517492662904285
"testToArray";10000;1132.5848273117028
"testToArray";20000;1725.985078094064
"testToArray";30000;3304.634341085701
"testToArray";40000;3323.042933574592
"testToArray";50000;5725.982115723203
"testToArray";60000;7086.695749047684
"testToArray";70000;8218.132118136704
"testToArray";80000;9111.17542765914
"testToArray";90000;10404.422025587695
"testToArray";100000;11113.794357270037
"testToArrayTyped";10000;5989.381985551776
"testToArrayTyped";20000;11083.247184594766
"testToArrayTyped";30000;18400.195968152628
"testToArrayTyped";40000;22416.64993147447
"testToArrayTyped";50000;29926.42861882213
"testToArrayTyped";60000;34659.84015556452
"testToArrayTyped";70000;39084.78633081179
"testToArrayTyped";80000;45032.13453731756
"testToArrayTyped";90000;54400.77204916326
"testToArrayTyped";100000;56091.12844958393
